taxon	cytochrome-b	12S-ribosomal-RNA	unknown	AFF2	APP	BCHE	BCOR	DCTN2	PNOC	RAG2	
Saimiri ustus	EU232708			HM765038			HM764025	HM762799			
Cebus albifrons	JN409320,FJ529108,JN409293	JN400563,JN400562,JN400565	JQ317616,JQ317643,JQ317638	HM765069	HM764657,JN633549	HM764181,JN633037	HM764006	HM762779	HM759656,JN633794	HM758944,JN633321	
Cebus xanthosternos	AY886750,FJ460174,JN409330		JQ412874,JQ412911,JQ412903	HM764959	HM764661	HM764119	HM764011	HM762784	HM759661	HM758949	
Saimiri sciureus	U53582,HQ005510,HQ005511			HM765053	HM764671	HM764132	HM764024	HM762798	HM759672	HM758963	
Cebus olivaceus	JN409311,JN409289,FJ529107	JN400582,JN400580,JN400581	JQ317655,JQ317656,JQ317636	HM764948	HM764660	HM764117	HM764009	HM762782	HM759659	HM758947	
Cebus apella	FJ529102,FJ529104,JN409327	AF069965,JN400566	JQ317619	HM764920	HM764658	HM764118	HM764007	HM762780	HM759657	HM758945	
Cebus libidinosus	JN400548,JN409300	JN400577,JN400576,JN400574									
Cebus nigritus	JN409334,JN409332,JN409303	JN400578,JN400579	JQ317617								
Cebus capucinus	FJ529110,JN400550,JN400552	JN400568,JN400573	JQ317654,JQ317653,JQ317623	HM764928	HM764659	HM764116	HM764008	HM762781	HM759658	HM758946	
