taxon	ADORA3	BCHE	CNR1	EDG1	PNOC	RAG2	SRY	APP	ATXN7	BCOR	
Ateles geoffroyi	HM765184	HM764101	HM763270	HM762436	HM759651	HM758939	DQ976605,HM757993	HM764652	HM764392	HM764001	
Ateles hybridus	HM765185	HM764100	HM763271	HM762437	HM759652	HM758940	HM757994	HM764653	HM764393	HM764002	
Lagothrix cana	HM765158	HM764068	HM763243	HM762411	HM759625	HM758913	HM757996	HM764630	HM764460	HM763979	
Ateles paniscus	HM765186	HM764219	HM763272	HM762438	HM759653	HM758941	HM757995	HM764654	HM764398	HM764003	
Ateles fusciceps	HM765183,AY011227	EU142156,HM764071	HM763269,AY011597	AY011721,HM762435	AY011841,HM759650	AY011958,HM758938	HM757992	HM764651,AY011351	HM764391	HM764000	
Ateles belzebuth	HM765181	HM764109	HM763267	HM762433	HM759648	HM758936	HM757990		HM764388	HM763998	
Lagothrix lagotricha	HM765159	HM764106	HM763244	HM762412	HM759626	HM758914		HM764631	HM764466	HM763980	
