taxon	cytb	COII	vWF	adora3	FIBA	cytb.1	
Cheirogaleus sibreei	GQ243490,GQ243498		GQ243551,GQ243573,GQ243537	GQ243443,GQ243448,GQ243468	GQ243516,GQ243501		
Microcebus lokobensis	EF065201,EF065207	EF065250,EF065245					
Cheirogaleus crossleyi	EU825360,AY605926,EU825368	EU825511,EU825492,EU825503	GQ243561,EU825565,EU825610	EU825280,EU825294,EU825303	EU825443,GQ243530,EU825455	EU825218	
Cheirogaleus medius	EU825327,EU825333,EU825323	AY584486,EU825471,EU825470	EU825533,EU825534,EU825515	EU825238,EU825244,HM765218	EU825389,EU825390,EU342243	EU825212,EU825211,EU825216	
Cheirogaleus major	AY605916,EU825343,AJ429633	AY584487,EU825487,EU825484	EU825539,EU825548,EU825563	EU825275,EU825251,EU825254	EU825398,EU825407,EU825409	EU825223,EU825224,EU825220	
Microcebus gerpi	JQ083614,JQ083617	JQ083612					
Microcebus macarthurii	EU810362	EU810352,EU810353					
