taxon	unknown	cytb	unknown.1	COII	unknown.2	ITGA4	TRIM5	CNR1	ITGA4.1	ZFX	
Callithrix saterei	JN541355,JN541389,JN541372		FJ769152,FJ769150,FJ769151	AY118181,AY118180	JN541406						
Callithrix rondoni	JN541384,JN541385,JN541367,JN541368				JN541402,JN541401						
Callithrix jacchus	JN541344,JN541377,JN541378,JN541360	AF245061,AF245053,AF245046	U88840,AY196773,AY196763	AY118190,AY118191,AY434078	JN541395,JN541394	JF938430	GU382645	HM763249	JF938282	AY220125,HM757103	
Callithrix humilis	JN541353,JN541387,JN541370		FJ769148		JN541404						
Callimico goeldii	FJ440391,JN541356,JN541357	AF245090,AF245089,AF245091				JF938410	GU382639,DQ437599	AY011600,HM763245		HM757099	
Callithrix pygmaea	HM765307,JN541364,JN541365	AF245083,AF245080,AF245081	U89009,HQ853489,U89010	AY118176	JN541399,JN541398	JF938441		HM763253	JF938292	HM757106	
Callithrix penicillata	HM765304,JN541380,JN541363	AF245070,AF245062,AF245047	U89004,U88997	AY118194,AY118196,AY118195	JN541397	JF938437,JF938440	GU382650	HM763252	JF938291	HM757105	
Callithrix argentata	JN541349,JN541383,JN541366	AF245076,AF245065,AF245060	U88999,U88998,U89005	AY118183,AY118182,AY118179	JN541400	JF938411	DQ437603,GU382640		JF938266		
Callithrix geoffroyi	HM765290,JN541376,JN541359,JN541358	AF245071,AF245063,AF245055	HM367905,U88993,U88995	AY118192	JN541392,JN541393	JF938426	GU382643,GU382642	HM763248	JF938278	HM757102	
Callithrix mauesi	JN541354,JN541388,JN541371	AF245074,AF245058,AF245051	U89006,U89002,U89003	AY118186,AY118187	JN541405						
Callithrix humeralifera	HM765345,JN541386,JN541369	AF245079,AF245073,AF245052	U89007,U89008	AY118184,AY118185	JN541403	JF938429	GU382644	HM763256	JF938281	HM757109	
Callithrix kuhlii	HM765297,JN541345,JN541362	AF245072,AF245064,AF245048	U88841,U88843,U88842	AY118193	JN541396	JF938433,JF938434,JF938432	GU382648,GU382649	HM763250,HM763251	JF938286	HM757104	
Callithrix melanura		AF245078,AF245075,AF245050				JF938436			JF938288		
Callithrix aurita		AF245077,AF245068,AF245049	U89001,U89000	AY118189,AY118188		JF938417		HM763247	JF938270	HM757101	
Callithrix emiliae				AY118178		JF938423	GU382641		JF938275		
