name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Gobiusculus flavescens  	 NA	NA	NA	257540	NA	NA	NA	257539	NA	NA	497223	8220	NA	NA	NA	8219	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Pomatoschistus microps  	 NA	NA	NA	225753	NA	NA	NA	13224	NA	NA	497223	8220	NA	NA	NA	8219	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Gobius niger  	 NA	NA	NA	85417	NA	NA	NA	45204	NA	NA	497223	8220	NA	NA	NA	8219	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Pomatoschistus pictus  	 NA	NA	NA	257537	NA	NA	NA	13224	NA	NA	497223	8220	NA	NA	NA	8219	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Pomatoschistus minutus  	 NA	NA	NA	13225	NA	NA	NA	13224	NA	NA	497223	8220	NA	NA	NA	8219	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Syngnathus acus  	 NA	NA	NA	161584	NA	NA	NA	103719	NA	NA	129914	72045	129913	NA	NA	NA	129912	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Syngnathus typhle  	 NA	NA	NA	161592	NA	NA	NA	103719	NA	NA	129914	72045	129913	NA	NA	NA	129912	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Syngnathus rostellatus  	 NA	NA	NA	161589	NA	NA	NA	103719	NA	NA	129914	72045	129913	NA	NA	NA	129912	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Nerophis ophidion  	 NA	NA	NA	159077	NA	NA	NA	159076	NA	NA	129914	72045	129913	NA	NA	NA	129912	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Gasterosteus aculeatus  	 NA	NA	NA	69293	NA	NA	NA	69292	NA	NA	NA	69291	NA	NA	NA	NA	129911	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Pungitius pungitius  	 NA	NA	NA	134920	NA	NA	NA	134919	NA	NA	NA	69291	NA	NA	NA	NA	129911	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Ctenolabrus rupestris  	 NA	NA	NA	171735	NA	NA	NA	171734	NA	NA	NA	8247	NA	NA	NA	8246	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Labrus bergylta  	 NA	NA	NA	56723	NA	NA	NA	30799	NA	NA	NA	8247	NA	NA	NA	8246	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Centrolabrus exoletus  	 NA	NA	NA	171732	NA	NA	NA	171730	NA	NA	NA	8247	NA	NA	NA	8246	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Symphodus melops  	 NA	NA	NA	171736	NA	NA	NA	130471	NA	NA	NA	8247	NA	NA	NA	8246	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
Labrus mixtus  	 NA	NA	NA	508554	NA	NA	NA	30799	NA	NA	NA	8247	NA	NA	NA	8246	8111	32455	NA	NA	7898	7776	89593	7711	NA	NA	33208	2759 
