taxon	tRNA-Gly	unknown	cytochrome-b	12S-ribosomal-RNA	cytb	
Avahi occidentalis	AY582560,DQ856118,DQ856120	AF475863,AY584497,DQ856043	AY441454,EF103292,AJ429631	AY043343,AJ429617	AJ429631	
Avahi laniger	AF224598,DQ856089,DQ856093	EF491662,DQ856004,DQ856002	EF103303,AY441453,AJ429630	AJ429616	AJ429630	
Avahi cleesei	DQ856113,DQ856117,DQ856116	DQ856037,DQ856036	EF103295			
Indri indri	DQ856049,DQ856050		AJ406042,Z35098,AY441455	AY043340,AJ429618	Z35098,AJ406042	
Avahi unicolor	DQ856111,DQ856109	DQ856032,DQ856034				
