# BEAST v1.7.5
# Generated Fri Feb 28 17:28:00 CET 2014 [seed=1393604879633]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	388373.treeModel.rootHeight	388373.kappa	388373.frequencies1	388373.frequencies2	388373.frequencies3	388373.frequencies4	388373.clock.rate	388373.treeLikelihood
0	-18.90940300468293	0.008201405250653266	-876.1981470865597	1.3332188699675447	-1.2382496598507626	-874.959897426709	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-874.959897426709
30000	10.378028343206376	0.0025713220281169268	-451.8380417002784	9.365676725278536	53.30226586610448	-505.1403075663829	0.001590136269249105	0.007116177975687355	0.005559083346295768	0.005801867354971475	0.002901962565226602	0.0030627160100405826	0.001120086225613493	4.0233197112140987E-4	34.8469143626063	0.9558379503552864	0.004822418212408086	2.3190373669451025	0.26913094475164073	0.2752566086163249	0.17287889406251888	0.28273355256951554	2.511992117277492	-505.1403075663829
60000	2.1639408322753173	0.07538354344627482	-488.7025858297549	2.8407871879418	11.98153112820185	-500.68411695795675	0.10056837649426328	0.09924999453076923	0.26914332757132065	0.3534852016480589	0.15926071854336074	0.18656139491349827	0.13457747413133514	0.16148798429565994	3.207229897101573	0.6588655623551216	0.2475556871592881	1.7689905729926934	0.262179878029084	0.24015696749905732	0.16915750679513578	0.3285056476767231	0.027576590743933163	-500.68411695795675
90000	-1.997358270891446	0.09990464879123044	-494.17732754603674	0.8961026282752034	1.7117021225267917	-495.8890296685635	0.10480347062161798	0.20934063883962953	0.10246941085244646	0.14205898253149662	0.3932655648953444	0.1429067139240617	0.08590693493345612	0.12920123654470395	15.194028999988571	0.4401384860801161	0.8688814011405497	3.4315882906846378	0.2832273824699478	0.23035387847290395	0.16327084945174133	0.3231478896054071	0.020075291883504962	-495.8890296685635
120000	-24.195574861150817	2928.227707968478	-620.4015435956441	-19.177743933939357	-126.86651130932249	-493.53503228632155	40395.2501226758	306851.60984443245	88952.80613283771	49435.799791465644	172591.84072088526	369219.45426484605	37098.6342642403	42679.69897053148	5.654012328995146E-5	0.6302161607067005	99535.78467967293	2.3257733578140174	0.29024567732552603	0.18019051309903913	0.19296639157155038	0.33659741800388476	1.7584960118588793E-7	-493.53503228632155
150000	-23.089391819039164	2301.2722066701017	-607.8981837567047	-20.056223640035043	-112.62533297313233	-495.2728507835724	16695.246039420283	76378.43434974436	67889.542375942	52715.70844513755	33429.08735919683	6033.819385379907	37429.42690295306	54511.81501358917	3.597965631062592E-5	0.30432392346902054	15780.039774525558	3.2932945888513117	0.3029586966923795	0.20084228791146597	0.1503953432094805	0.34580367218667435	5.932514981778379E-7	-495.2728507835724
180000	-38.06629996652501	9.652836548122225E8	-683.2726874635189	-44.02918401763024	-188.72318949553767	-494.54949796798127	1.818004241049486E7	3.37413724584488E7	1.8132749330994245E8	6.71027574021414E7	2.7136930517920148E7	3.8003990341675244E7	2.0287141345707644E7	8788135.64037296	1.0798064104291342E-9	0.39085260607373795	9.743826141835233E8	1.3895840026420225	0.30124252321515144	0.17940840233041988	0.18947970250636295	0.32986937194806576	2.049916079056884E-11	-494.54949796798127
210000	-36.08212261526599	1.3903461094386747E8	-671.1185681111144	-39.68393879165371	-175.90981244184968	-495.20875566926475	5255649.873745312	2.4055500806027796E7	5866172.068014882	3.2038215948461805E7	580442.2409151708	2.303778709546477E7	9239750.99841845	1.1584995834727298E7	3.4080006485177374E-9	0.32583235792123083	1.6469976480236065E8	0.6953480510933582	0.27331364049193235	0.19197904980711866	0.17377907538049098	0.360928234320458	7.746983510759421E-11	-495.20875566926475
240000	-46.30453617702344	1.1877561051259857E10	-715.793465720181	-49.05709997664971	-222.89949981831302	-492.89396590186794	4.235456350990467E8	1.7784452323478763E9	2.2084583496487093E9	1.9049904890176346E9	2.308075399485304E8	2.7495536098913155E9	7.316243959090526E8	3.5590171735837E8	8.233089949988915E-11	0.09538829849727334	1.918824082509291E10	3.0576624408214363	0.3040466065605558	0.17706807936828128	0.15133350161044623	0.3675518124607167	6.606833699726884E-13	-492.89396590186794
270000	-65.00143465216219	2.610430290462967E14	-816.7530928753627	-68.6614403319492	-322.8625039189126	-493.89058895645013	1.0098343062705025E13	4.488509749571093E13	4.4824284670268914E13	5.979277045504565E13	1.773519149853004E13	4.9257161974295766E13	7.252827668762913E12	7.398668010751429E12	2.8477560050635683E-15	0.2700041902521081	3.6273921223760775E14	7.084209084888832	0.2864693886050168	0.16198525352077653	0.16053389365837434	0.3910114642158324	5.0439014262818314E-17	-493.89058895645013
300000	-36.14256986719954	5.986176756484259E8	-676.6884057567378	-43.020509372895404	-183.38343039366652	-493.30497536307126	1.0507461736644583E7	1.15936232201786E7	5.926666869311299E7	2.5332510712561138E7	3.2742643182014152E7	2.5869459129803363E7	2.080512886221958E7	5.036526369858745E7	4.807585207787934E-10	0.5326351987759138	6.026921705085961E8	2.6016088918873024	0.2581494282852728	0.17564793546193186	0.17196606356536145	0.394236572687434	3.892638405661993E-11	-493.30497536307126
