name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Presbytis_thomasi	NA	NA	NA	1046103	NA	NA	NA	9573	NA	NA	9569	9527	314294	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_bancanus	NA	NA	NA	9477	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_dentatus	NA	NA	NA	449501	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_wallacei	NA	NA	NA	981131	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_lariang	NA	NA	NA	630277	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Chiropotes_utahicki	NA	NA	NA	280160	NA	NA	NA	9524	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_syrichta	NA	NA	NA	9478	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_sangirensis	NA	NA	NA	905053	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_tarsier	NA	NA	NA	662464	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
