taxon	cyt-b	12S-ribosomal-RNA	16S-ribosomal-RNA	
Otolemur crassicaudatus	U53579,AF212967,AY441465	DQ073505,DQ073506,AY043349	AF212957	
Galago gallarum	AF212970	AF212950	AF212960	
Galago senegalensis	AY441471,AF212969	DQ073487,AF212949,AY043350	AF212959	
Galagoides zanzibaricus	AF212964	AF212944,DQ073497	AF212954	
Otolemur garnettii	AF212968,AF271412,AY441466	DQ073510,DQ073512,DQ073511	AF212958	
Euoticus elegantulus	AY897400,AY897401,AY441469	AY897396,DQ073480	AY897399,AY897398	
Galago granti	AY441468	DQ073520		
Galago alleni	AF212966,Z35095	AF212946,DQ073523,DQ073521	AF212956	
Galagoides demidoff	AF271411,AY441472,AF212965	DQ073494,DQ073490,DQ073489	AF212955	
Galago moholi	AY441470,AF271410,AF212971	DQ073482,DQ073483,DQ073481	AF212961	
