taxon	cytochrome-b	COI	12S-ribosomal-RNA	DARC	beta-2-microglobulin-precursor	G6PD	G6PD.1	beta-2-microglobulin-precursor.1	IRBP	
Saimiri boliviensis	JN400559	AY549423,HM102313	JN400590,JN400589	AF311918	AF032081	AF028494	AF028518	AF032080	U18617	
Saimiri ustus	EU232708			HQ285856	AF068763			AF068762		
Saimiri oerstedii	JN400558,EU232702	AY671798	JN400591			AF028495	AF028519			
Saimiri sciureus	U53582,HQ005510,HQ005511	EF568644,FJ402876,JF459275	JN400593,JN400592,AF069974	HQ285857	AF068765	AF028496	AF028520	AF068764	U18619	
