taxon	SRY	12S-small-subunit-ribosomal-RNA	
Miopithecus talapoin	EF517800	AF164872,L35205	
Cercopithecus neglectus	AY665635,HM757950,AY450886	L35182	
Cercopithecus solatus	AY665643,AY450888	AF394270	
Chlorocebus sabaeus	HM757953	L35187	
Cercopithecus nictitans	AY665636,AY450887	L35199	
Cercopithecus lhoesti	AY048068,HM757948	AF394271	
Cercopithecus petaurista	AY897617	AF164879	
Chlorocebus aethiops	HM757952,AY048070	L35185,AJ842861	
Cercopithecus ascanius	EF517798	L35202	
Cercopithecus hamlyni	AY450884,AY665634	AF164881	
Chlorocebus cynosuros	AY665641	AM944509	
Cercopithecus wolfi	AY450889	AY665620	
Erythrocebus patas	HM757954,AY048074,AY048072	AY665621,L35186	
Cercopithecus preussi	EF517796,AY665642	AF394272	
Cercopithecus mitis	AY450885,AY048069	L35197	
Cercopithecus mona	HM757949,AF284332	L35198	
