name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Arecaceae sp. A.guadamuz 	 NA	NA	NA	1123471	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. A.guadamuz2 	 NA	NA	NA	1123472	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. A.guadamuz305 	 NA	NA	NA	1123473	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. A.guadamuz309 	 NA	NA	NA	1123474	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. A.Guadamuz303 	 NA	NA	NA	1156505	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. MHPAB027-08 	 NA	NA	NA	1160311	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. MHPAB051-08 	 NA	NA	NA	1160312	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. MHPAB052-08 	 NA	NA	NA	1160313	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arecaceae sp. MHPAB053-08 	 NA	NA	NA	1160314	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Phoenix environmental sample 	 NA	NA	NA	1204505	NA	NA	NA	NA	NA	NA	NA	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Astrocaryum environmental sample 	 NA	NA	NA	1096670	NA	NA	NA	NA	NA	NA	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Nypa fruticans 	 NA	NA	NA	4718	NA	NA	NA	4717	NA	NA	169701	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Asterogyne martiana 	 NA	NA	NA	93235	NA	NA	NA	93234	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Asterogyne sp. A.guadamuz308 	 NA	NA	NA	1123485	NA	NA	NA	93234	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Asterogyne guianensis 	 NA	NA	NA	1176937	NA	NA	NA	93234	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Pholidostachys pulchra 	 NA	NA	NA	93321	NA	NA	NA	93320	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Pholidostachys dactyloides 	 NA	NA	NA	93322	NA	NA	NA	93320	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Pholidostachys synanthera 	 NA	NA	NA	313574	NA	NA	NA	93320	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Pholidostachys kalbreyeri 	 NA	NA	NA	1176962	NA	NA	NA	93320	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Welfia regia 	 NA	NA	NA	93324	NA	NA	NA	93323	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne ghiesbreghtiana 	 NA	NA	NA	93326	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne costatifrons 	 NA	NA	NA	93327	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne trichostachys 	 NA	NA	NA	1125172	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne allenii 	 NA	NA	NA	1176938	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne anomala 	 NA	NA	NA	1176939	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne brachystachys 	 NA	NA	NA	1176940	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Calyptrogyne fortunensis 	 NA	NA	NA	1176941	NA	NA	NA	93325	NA	169706	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
