name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Anigozanthos_flavidus	NA	NA	NA	72643	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_bicolor	NA	NA	NA	95946	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_humilis	NA	NA	NA	95947	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_preissii	NA	NA	NA	95948	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_manglesii	NA	NA	NA	114198	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_gabrielae	NA	NA	NA	524050	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_onycis	NA	NA	NA	524051	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_rufus	NA	NA	NA	524052	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_viridis	NA	NA	NA	524053	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_kalbarriensis	NA	NA	NA	705298	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Anigozanthos_pulcherrimus	NA	NA	NA	705299	NA	NA	NA	54925	NA	NA	NA	54924	NA	NA	NA	NA	4739	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_montana	NA	NA	NA	15124	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_wangerinii	NA	NA	NA	49482	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_nutans	NA	NA	NA	72644	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_morreniana	NA	NA	NA	106436	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_nitida	NA	NA	NA	106437	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_floribunda	NA	NA	NA	213062	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_juncifolia	NA	NA	NA	294005	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Catopsis_subulata	NA	NA	NA	294007	NA	NA	NA	15123	NA	NA	NA	4613	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Typha_latifolia	NA	NA	NA	4733	NA	NA	NA	4732	NA	NA	NA	4731	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Typha_angustifolia	NA	NA	NA	59011	NA	NA	NA	4732	NA	NA	NA	4731	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
