taxon	cytb	COII	unknown	VWF	ENO	adora3	FIB	tRNA-Gly	AF4/FMR2-family-member-2	SLC8A3	
Microcebus lokobensis	EF065201,EF065207	EF065250,EF065245	EF065214,EF065226,EF065215								
Microcebus griseorufus	DQ979919,AY167067,DQ979921	AY515545,GU327140,AF321180	AY167081,JF510164,JF510174	GU232144,GU232143,GU232147	EF052367,EF052361,GU231348	EF052520,GU231298,GU230917	GU232111,GU232084,DQ003353	AY582661	JX017492	JX017390	
Microcebus sambiranensis	GU327309,EF065180,EF065202	GU327108,EF065249,AY569191	AF285478,AF285477,AF285479	EF052470,EF052467,GU232290	GU231511,EF052347,GU231630	GU231228,GU231223,GU231103	DQ003420,DQ003418,GU232035	AY582636	JX017491	JX017389	
Microcebus murinus	EF065186,GU327198,EF065191	GU327013,GU326995,GU327009	AF285485,AF285489,EU662872	GU232204,GU232203,GU232160	EF052386,GU231661,GU231669	GU230992,EF052587,GU230966	EU342259,DQ003469,GU231772	AF224629,AY582654,AF224624	HM764858,HM764860,JX017496	JX017394	
Mirza coquereli	AY441462,DQ093176,DQ093178	AY321460,EU835923	EU518386,EU518398,EU518384	AY434036,EU835925,EU835934	GU361973			EU779962,AF224623	HM764859		
Microcebus berthae	AF285540,GU327356,GU327166	AF285504,AF285507,GU326978	AF285466,AF285463,AF285464	GU232478,GU232141,GU232132	EF052295,GU231341,EF052296	EF052514,EF052511,GU231318	EU342258,GU232120,GU231717	EF175234,EF175233,EF175231	JX017495	JX017393	
Microcebus rufus	AF285553,GU327235,AF285544	AF285517,GU327050,AF285510	AF285470,AF285469,AF285467	EF052448,GU232276,GU232286	EF052327,EF052326,EF052322	GU231094,EF052549,EF052552	GU231906,GU231888,GU231887	DQ535003,DQ535007,AY582651	JX017501	JX017399	
Microcebus bongolavensis	EF065195,EF065185	EF065256	EF065233,EF065306						JX017490	JX017388	
Microcebus simmonsi	GU327281,GU327294,GU327280	GU327073,GU327084,GU327080		GU232397,GU232398,GU232395	GU231545,GU231555,GU231608	GU231212,EF052542,EF052541	GU231974,GU231919,GU232020	EF175240,EF175252,EF175245	JX017489	JX017387	
Microcebus macarthurii	EU810362	EU810352,EU810353	EU810370,EU810371								
Mirza zaza	DQ093169,DQ093170,DQ093171	EU835915		EU835918				EU779961			
Microcebus lehilahytsara	GU327263,DQ095783,EF065181	GU327134,GU327065,EF065243	EF065227,EF065228	GU232322,GU232323,GU232324	GU231539,GU231537,GU231536	GU231280,GU231137,GU231134	GU231939,GU232080		JX017503	JX017401	
Microcebus ravelobensis	GU327217,GU327216,EF065190	EF065261,GU327031,EF065259	AF285455,EF065364,EF065285	GU232248,GU232253,GU232240	EF052331,EF052330,EF052345	EF052567,EF052563,GU231060	GU231866,DQ003406,DQ003411	EF175222,AF224631,EF175221	JX017499	JX017397	
Microcebus gerpi	JQ083614,JQ083617	JQ083612	JQ083624,JQ083623,JQ083621								
Microcebus tavaratra	GU327256,EF065206,EF065199	EF065240,GU327060,EF065239	EF065220,AF285456,AF285457	GU232304,GU232312,EF052478	GU231529,EF052352,GU231525	GU231130,EF052578,EF052582	DQ003426,DQ003427,GU231929	EF175220,DQ534995,DQ535001	JX017500	JX017398	
Microcebus myoxinus	GU327355,EF065182,EF065189	GU327016,EF065265,EF065252	EF065221,AF285460,AF285459	EF052423,GU232211,EF052426	GU231714,EF052297,EF052302	GU231012,EF052531,EF052523	DQ003363,DQ003369,GU232128		JX017488	JX017386	
Microcebus danfossi	EF065208,EF065204,EF065192	EF065246,EF065258,EF065244	EF065283,EF065235,EF065231						JX017497	JX017395	
Microcebus mittermeieri	EU810355,EU810358,GU327319	EU810348,EU810349,AY515541	EU810366,EU810367,EU810369	GU232419,GU232426,GU232432	GU231636,GU231638,GU231637	GU231239,GU231229,GU231237	GU232043,GU232038,GU232045	AY582642,EF175253	JX017493	JX017391	
Microcebus jollyae		AY515556,AY515543,AY569183						EF175255,AY582645,AY582647	JX017494	JX017392	
Microcebus mamiratra								DQ535019,DQ535018,DQ535017	JX017498	JX017396	
Microcebus margotmarshae									JX017502	JX017400	
Microcebus arnholdi									JX017487	JX017385	
