name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Inachis_io	NA	NA	NA	171585	NA	NA	NA	171584	NA	171576	40040	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Aglais_urticae	NA	NA	NA	111881	NA	NA	NA	111880	NA	171576	40040	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Anthocharis_cardamines	NA	NA	NA	227532	NA	NA	NA	72244	NA	152601	42449	7114	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Anthocharis_damone	NA	NA	NA	385381	NA	NA	NA	72244	NA	152601	42449	7114	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Apatura_ilia	NA	NA	NA	461127	NA	NA	NA	191395	NA	NA	82582	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Apatura_iris	NA	NA	NA	191396	NA	NA	NA	191395	NA	NA	82582	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Apatura_metis	NA	NA	NA	642990	NA	NA	NA	191395	NA	NA	82582	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Aphantopus_hyperantus	NA	NA	NA	111886	NA	NA	NA	111885	150883	127320	42282	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Aporia_crataegi	NA	NA	NA	129397	NA	NA	NA	129396	NA	152601	42449	7114	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Araschnia_levana	NA	NA	NA	171575	NA	NA	NA	171574	NA	171576	40040	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Archon_apollinus	NA	NA	NA	213896	NA	NA	NA	213895	NA	213899	42290	7143	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Arethusana_arethusa	NA	NA	NA	111888	NA	NA	NA	111887	150886	127320	42282	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Fabriciana_adippe	NA	NA	NA	405009	NA	NA	NA	525812	NA	127312	40037	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Argynnis_aglaja	NA	NA	NA	405010	NA	NA	NA	171801	NA	127312	40037	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Argynnis_laodice	NA	NA	NA	405016	NA	NA	NA	171801	NA	127312	40037	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Fabriciana_niobe	NA	NA	NA	405017	NA	NA	NA	525812	NA	127312	40037	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
Argynnis_pandora	NA	NA	NA	405018	NA	NA	NA	171801	NA	127312	40037	33415	37572	41197	41196	41191	7088	85604	33392	33340	50557	6960	NA	6656	NA	NA	33208	2759
