# BEAST v1.7.5
# Generated Sat Mar 01 06:12:13 CET 2014 [seed=1393650732451]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	speciesTree.splitPopSize8	speciesTree.splitPopSize9	speciesTree.splitPopSize10	speciesTree.splitPopSize11	speciesTree.splitPopSize12	speciesTree.splitPopSize13	speciesTree.splitPopSize14	speciesTree.splitPopSize15	speciesTree.splitPopSize16	speciesTree.splitPopSize17	speciesTree.splitPopSize18	speciesTree.splitPopSize19	speciesTree.splitPopSize20	speciesTree.splitPopSize21	speciesTree.splitPopSize22	speciesTree.splitPopSize23	speciesTree.splitPopSize24	speciesTree.splitPopSize25	speciesTree.splitPopSize26	speciesTree.splitPopSize27	speciesTree.splitPopSize28	speciesTree.splitPopSize29	speciesTree.splitPopSize30	speciesTree.splitPopSize31	speciesTree.splitPopSize32	speciesTree.splitPopSize33	speciesTree.splitPopSize34	speciesTree.splitPopSize35	speciesTree.splitPopSize36	speciesTree.splitPopSize37	speciesTree.splitPopSize38	speciesTree.splitPopSize39	speciesTree.splitPopSize40	speciesTree.splitPopSize41	speciesTree.splitPopSize42	speciesTree.splitPopSize43	speciesTree.splitPopSize44	speciesTree.splitPopSize45	speciesTree.splitPopSize46	speciesTree.splitPopSize47	speciesTree.splitPopSize48	speciesTree.splitPopSize49	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	cluster37.treeModel.rootHeight	cluster37.kappa	cluster37.frequencies1	cluster37.frequencies2	cluster37.frequencies3	cluster37.frequencies4	cluster37.clock.rate	cluster527.treeModel.rootHeight	cluster527.kappa	cluster527.frequencies1	cluster527.frequencies2	cluster527.frequencies3	cluster527.frequencies4	cluster527.clock.rate	cluster62.treeModel.rootHeight	cluster62.kappa	cluster62.frequencies1	cluster62.frequencies2	cluster62.frequencies3	cluster62.frequencies4	cluster62.clock.rate	cluster37.treeLikelihood	cluster527.treeLikelihood	cluster62.treeLikelihood
0	-543.2554994865861	0.0015363621767772754	-18744.73539775033	11.048134840456736	-423.81503883366963	-18320.92035891666	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.9999999999999999	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-2721.998854100525	-11608.69395231872	-3990.2275524974166
30000	245.29359501005484	0.002379383564275409	-6356.623001583014	95.77010491573326	584.7925556080843	-6941.415557191099	9.429761000562719E-4	0.004503440835895928	0.004841630445333543	0.006246372998185778	0.0021738356702318455	0.003433220122288009	0.005483022938443879	0.0035666679763752176	0.0032491782026617903	0.002306652511637294	0.004084081691686206	0.0010346859038919346	0.002063963615456695	0.006021752205050091	0.0026429117334095553	0.0034377622629170913	6.24357417781276E-4	0.0036702742327148607	2.0090539835409632E-4	0.0021696544861605016	6.524714051571395E-4	7.628232568609811E-4	0.0043252986682575795	0.0011616783586913234	0.0010426358164863524	0.0037280822044603963	7.810945141184728E-4	0.007366814736037624	7.959162774865331E-4	0.003735685269335425	0.0018683601996908345	0.0010477008720994425	0.0013645248779936097	0.0017429266121046165	7.60097478495369E-4	5.79356121173969E-4	0.001279022967593789	0.002318951753430682	0.0033308869176940582	4.273838484333552E-4	0.003432615087985901	0.0020589408722600394	0.0012581222254738355	9.130654120190539E-4	0.001046071102270224	0.004757412628279494	2.3282204724522565E-4	0.0012458769677854136	0.0012727240623747415	0.0019998448305149088	12.050304727407685	0.9921162384340172	0.004762523900708748	18.849794397538723	0.2843288958433112	0.28322729892753046	0.17623807435877603	0.2562057308703823	12.445675871822004	0.0044543754228672915	2.5719335825468854	0.24035647545704675	0.23337484599325053	0.2846041507416631	0.2416645278080397	2.302696456183719	0.00406767246208538	1.7405666383442344	0.30444741291673105	0.21610530653552515	0.2819987638129145	0.19744851673482944	1.4245251252240225	-1322.963315400553	-4193.967350940685	-1424.4848908498604
60000	100.11882101547815	0.08030332633043163	-6724.298938664218	35.69637589883474	227.30953509556144	-6951.60847375978	0.026442640255507858	0.17414637379931366	0.050551134289949624	0.14531014525918368	0.06854652341207827	0.08549876762894326	0.1242050927640164	0.08746598977925586	0.02427453499189248	0.07404493824562841	0.19950309922286255	0.14663601752041136	0.042952949531701486	0.059327590722984096	0.10249419649569962	0.14087687764191392	0.13857042557176896	0.03797751382135842	0.007364116591235037	0.03546715845046982	0.011889627888649215	0.028359331447546515	0.04208616032881993	0.05703272901103003	0.06386418368580396	0.05729729336373161	0.10797271247563371	0.06300453586383006	0.014427352159449685	0.020418780226995017	0.17683124490373278	0.07463414345541272	0.021856477786907087	0.060118384024947374	0.019882141268197855	0.041511936702829724	0.03453732132412675	0.014902930349192678	0.010301648932287015	0.03382457037341159	0.07615879337860924	0.07798736190295087	0.038649981744759684	0.0382142510390457	0.032518439870290565	0.05447574870238593	0.009602848251302885	0.06098518006918146	0.016146177555493323	0.07522124457378758	5.394026401210555	0.8031894876788108	0.10779303776087766	17.47507607443353	0.26340604904207243	0.31141873071355297	0.17411970046691633	0.25105551977745844	0.4673978386134845	0.1492313719381962	3.124998805491725	0.2272016618467686	0.2598589318168021	0.27721041332524443	0.2357289930111849	0.053983912384581556	0.1266346920540335	6.657519920503471	0.267276664618174	0.23012339517683103	0.26900870299032353	0.23359123721467173	0.0642107321308388	-1324.0205349503528	-4200.714831017716	-1426.873107791711
90000	-52.47007711693051	1.6411722441017131	-7059.064636612784	-12.350130736302159	-113.04340148202536	-6946.021235130758	0.5235056322053351	2.2587122030764233	2.3391398182702514	4.3286442623686066	1.404792273125291	0.6331959070196796	2.114004323306427	3.8248167221182188	2.4277665483474182	1.9449932556845158	0.1265365047996221	0.976295741278181	1.593927749080872	1.462312021283379	2.3442877230283172	1.149194406657568	2.5680105598012757	1.934526116049317	1.53870058510498	1.32326852917411	2.4281310521646957	0.998850478459097	0.5432202335276388	1.1095101438687853	0.17194346258986642	0.5856319725238908	0.34290083277057093	0.6838288351431834	0.8042198392029191	0.16519741991271722	0.21295493224431375	1.3398254177098852	0.8496825243758319	0.5259740427334643	0.880242351366211	0.7845670070555886	1.150465512623579	1.848192902177228	0.6955329424492652	0.5713618934566064	2.1512247900862675	0.524480395231105	0.26142979847772574	0.6105299528157698	1.1691538478171468	0.44975643936068904	1.727920761724126	0.1180717816143548	0.6947909026448679	0.44566275963713153	1.207731013039947	0.24443425870103305	2.4116910133475384	17.600842453022914	0.26262554955081063	0.3013918324615283	0.1601054609047946	0.27587715708286653	0.018067399382644116	3.4410100242984694	4.035413415686399	0.23594923804656998	0.24004777085756765	0.2925970773338063	0.2314059137620563	0.0025585053124289204	5.045603742539935	3.7440868076282627	0.26978981070648017	0.240553674873437	0.2721560160738295	0.2175004983462537	0.0020690881125712936	-1325.8554121541322	-4199.104403072897	-1421.0614199037288
120000	70.29874664026137	0.1407956906067678	-6776.006618365478	25.27913041095413	172.94767809132557	-6948.954296456804	0.03824460791432402	0.16363718633095423	0.11292363325675782	0.123234476927473	0.10723425583735388	0.1486700541740742	0.07013194734209785	0.21561498495700152	0.1327556911743189	0.18192372575024907	0.1560512606676482	0.14861902442450053	0.1763136458090773	0.09907567913863603	0.19014700086972816	0.1532199943003028	0.2913938039400456	0.04581742156001515	0.10112672882848418	0.07776958470755113	0.0671004975542841	0.13625318462785083	0.03620899974515566	0.1483192678809872	0.05623410644144312	0.14135817741602427	0.044680228535431195	0.06167562320322436	0.06958730190357396	0.024402295498174357	0.03299493782539042	0.037787853092234897	0.06818885467100529	0.09867351279088493	0.18613510663352564	0.05784445097266348	0.072741852444247	0.035837221507293085	0.04932709316198033	0.03518929358709227	0.18145936437992327	0.02523101045638878	0.12963421860578314	0.046975843071084995	0.094761377811753	0.014233682551853418	0.06972970340798715	0.0735734104028017	0.0606365291902877	0.004788347232299219	10.214639712184113	0.6754376932864266	0.26316784088000034	20.821681011793185	0.27028681234992363	0.317908969390124	0.15143744631198897	0.26036677194796337	0.21058084136019595	0.2254829719915709	2.4756275520746964	0.24161879022397698	0.24878161416220385	0.2702240058978811	0.23937558971593825	0.03692569622894515	0.2638426803083452	2.0263577030604707	0.28364624702969365	0.2263984792028149	0.2702465678525502	0.21970870591494163	0.030141000825251597	-1327.8431286558523	-4198.33513411357	-1422.7760336873807
150000	-171.5888673951375	25.256472360109296	-7345.273763956836	-54.4846149239418	-399.75260011883734	-6945.521163837999	7.618147250154146	62.045348872982935	40.119047648189955	27.579760969928046	24.336812798253078	30.007335098668914	19.340627676885113	33.447248321045535	56.17660446529191	5.072924044494945	31.4592240685751	32.96188740961747	30.204841861327672	42.23542623375141	24.059771187113032	19.345644033612864	15.041001867751794	25.39751825508892	10.761490405987853	9.730397899116532	12.311236982443557	22.738770248546842	9.963619808717223	5.2430718412020125	24.903233658907155	5.584368908096509	7.627304479848808	7.8893429635424415	5.884600942107873	17.680678267609963	4.347958918158941	38.21992363554494	53.0742045377066	11.8095559065898	16.51036048161842	21.203549674765405	32.92161072054899	20.30071219324633	18.034853641892486	10.467998558704508	17.015431850278688	14.109967550781189	11.54668575024674	4.655043979438354	3.1477449947955938	5.100946614342213	22.64635723993638	22.232812483377064	7.5819167918639705	19.836141415516497	0.06879545541177555	0.7433824293430559	29.94379463580222	16.846466032559448	0.2805067968093344	0.2748018232795136	0.17282753151808009	0.2718638483930718	0.0014217870612196193	47.54316715140172	2.5334290841522646	0.2533894597019188	0.23667222225197992	0.2864567862358634	0.2234815318102381	2.0471711186525858E-4	43.432253179247674	4.197121831478261	0.2711825740383061	0.2478479612965678	0.25425420453500075	0.22671526013012558	1.9649072031957223E-4	-1323.8757182518602	-4196.543735517436	-1425.1017100687022
180000	-131.41913367030867	8.389401575603086	-7231.087190072964	-35.8070432086254	-283.13624716305026	-6947.950942909914	2.440388916724311	11.966347629285481	8.680077455043133	18.72180833105363	6.907102697343111	10.790656516162448	10.414246970598963	13.475110782820627	9.530976036511541	6.231121780872155	4.6240148763390865	9.794079483302884	12.420843887754412	15.946424581026116	12.666779267811117	8.993331552606588	3.160681697816602	12.373535829088246	2.529107673504049	1.3683771415265802	2.7370693858993524	0.7049486860040635	1.9363417565433914	7.991044877094712	4.605587361800419	4.8064826797881235	2.045373128341146	3.5356967593802167	4.708407392274152	5.782449900887775	3.366222161997209	5.624591784820414	3.501737473831711	5.353545900288384	9.922406161857753	2.288751348176349	4.337015967568616	3.742728436980481	3.9228536376374428	6.013126980095691	6.582531134694887	7.660091491862572	11.667268383210946	4.130948989890171	1.2784543074252335	1.4894679261416834	8.347727537846138	8.284893172153819	2.1829796749975703	3.1742934775051546	0.3017140356363076	0.3538753662582149	11.802925205108679	13.032659437545574	0.2881710388993007	0.2842950993268026	0.1682826028081417	0.259251258965755	0.003384140136262128	18.57447086936954	3.465830401909167	0.24163349278284238	0.2428705345799344	0.27578873613492777	0.23970723650229558	5.318706248236288E-4	12.233114912033855	2.8871194670404243	0.2699082711016636	0.24346564073686733	0.2860815799824621	0.20054450817900712	5.968251782500083E-4	-1322.1718939004584	-4198.299088874893	-1427.4799601345626
210000	-254.0035723912173	160.0336684585282	-7508.117440272649	-86.49461742341798	-559.9824695418689	-6948.13497073078	21.447950381816238	102.97098994577192	52.27606196739488	31.100840177521942	95.36927541871154	83.36676440848187	94.1907800998593	115.29476408270706	58.55212469476007	90.13021937986738	111.16017728004867	86.08639251973065	105.9239818597676	33.6108660584979	52.02949213584807	68.58103875866247	55.36172078731849	55.152646367156045	84.04228966378571	98.18261412388817	90.82373971281558	69.22536440392788	32.82603717144623	29.14042157170548	6.8668967138011805	44.574895903014145	6.2771333607838065	37.30028116411739	56.32856869509092	64.79963203489447	85.27376958097192	14.58521114742737	52.38110020417889	8.17451558579402	103.5387492842068	46.44100095369869	23.293522476746208	95.81100707061498	11.606258451713558	23.525499301141558	30.083437604193932	104.14536883097408	25.870881280219695	26.341852921164847	133.38111326396862	14.291606439755938	24.360836188095103	32.989420986231906	73.34168532716956	14.627278317968504	0.005075123203463102	0.6857955101314599	242.8446905071909	13.169601632288101	0.3206564949946526	0.2758546943997254	0.1309196677182403	0.2725691428873817	1.670615134137898E-4	255.34808013527038	2.504127024929349	0.25379080029902273	0.23144602366836764	0.28947394470837673	0.22528923132423295	3.3958174199307745E-5	252.1986261827781	3.0961918029871285	0.2752725806569861	0.23560269288164687	0.26426369328886995	0.22486103317249717	2.611352978270431E-5	-1327.2270944440863	-4199.083265552964	-1421.8246107337295
240000	-91.9504807682003	5.273931429387871	-7146.514847148551	-32.948526346036374	-207.2766701133958	-6939.238177035155	1.12845969691242	11.019171473600021	1.6070827663067995	5.154152801112177	0.8731632956685265	3.164201648555127	5.15634721574759	2.3962655337663037	3.6126467534063846	2.5474368926616475	5.099460379449633	1.3439761116981748	1.9847409774530136	2.7241183698515083	2.0656661475906044	1.9497083398310613	3.5591974941128957	3.1251771038549485	1.4309615238522402	2.7947548699096183	1.5744155400475	2.2065677586975125	3.7460272637316816	1.6026770062824789	0.3943202033746337	1.8892903062866293	2.0454693680371654	2.5874823506361415	0.518011269568396	0.6651612598947676	2.9923208356843185	1.8326358973815073	2.3626415446161833	2.0409971438072065	0.8442770044297893	2.8469449900245483	1.423051107259709	2.073971983187775	3.7569972055757876	1.5427752640796744	2.4811455746022926	1.4651138612748917	1.0565533511340577	8.143476646767601	1.4465268449740916	1.4492391223683676	0.547371133159119	3.527918436280407	0.058921169978811375	2.7608415224055376	0.2870508365703001	0.14876073377158905	7.695763147493658	21.494807565275792	0.31133098955627075	0.26286877228090477	0.15721386261564665	0.2685863755471777	0.005530988795500336	8.599874269008652	2.3457846523928896	0.24015169576673912	0.2502708851954173	0.2716966926590848	0.23788072637875868	9.202463466986462E-4	11.001823201668405	3.41561884693978	0.3157627968709743	0.22155462145596874	0.23947746021863722	0.22320512145441987	0.0010323019988130522	-1318.2780192974553	-4195.705289513679	-1425.2548682240204
270000	-7.879516507367702	0.8915601243331016	-6963.833250701068	-1.554626582741196	-9.489020922233504	-6954.344229778835	0.20331700294449936	0.9480621976189667	0.9001461582263579	0.9507351604300166	1.1874906756347652	0.9673675835435727	1.490687763252129	0.3793898529521268	0.5330947966909818	1.2273046494677895	0.3875441779717209	1.4208196719924764	0.41111130039810917	0.2605732371597571	0.6896313051225936	0.9163964769496835	1.1479598180346917	0.7293696010596629	0.1448599971222381	0.2090757412060333	0.12867440017214316	0.30505217541240226	0.24782779081273792	0.29334907467288107	0.5701302217590049	0.09054119090637136	0.3599159720286068	0.21657766325325611	0.07135303470226738	0.534176104976288	1.067310813492434	0.06445050613620373	0.2524064999511653	0.47976090759341816	0.34462452607048044	0.6515996610002202	0.44804814912125784	0.09648063532847286	0.20875642806251074	0.4357834478045546	0.2687064356313278	0.20439783920910778	0.21747460582289482	0.4124310638219049	0.20055581193268654	0.2803215406483328	0.40612660852557847	1.0073528583732045	0.57890699963209	0.10869753829589048	2.51259372256835	0.02175433427009964	1.2121036320088083	19.969598048598023	0.29156030717504167	0.2969910454230055	0.14935079566379877	0.262097851738154	0.037123222500161056	1.6140959311390677	2.12237935111285	0.21590537012209507	0.24711481534818452	0.2957105865018888	0.24126922802783124	0.006271863816444365	1.9100803774027018	3.314109966696821	0.2999450853891817	0.24602720345943016	0.23880902593372494	0.21521868521766335	0.0042057041792169705	-1325.045472637916	-4206.878581672986	-1422.4201754679332
