name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Nycticebus_intermedius	NA	NA	NA	101277	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Nycticebus_pygmaeus	NA	NA	NA	101278	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Nycticebus_coucang	NA	NA	NA	9470	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Nycticebus_javanicus	NA	NA	NA	310934	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Nycticebus_bengalensis	NA	NA	NA	261741	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Nycticebus_menagensis	NA	NA	NA	310932	NA	NA	NA	9469	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Loris_tardigradus	NA	NA	NA	9468	NA	NA	NA	9467	NA	NA	NA	9461	NA	NA	376916	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
