taxon	cytb	12S-ribosomal-RNA	unknown	ADORA3	RAG1	AXIN1	CFTR	LUC7L	ABC1	RAG2	
Nycticebus javanicus	AY878365	GQ253660	AY875958								
Loris tardigradus	AF212963,U53581	DQ073503,AF212943		EU342233,HM765248	EU342320,HM759167	EU057299,HM764381	EU057270,HM763572	HM760848,EU057212	EU057444	HM759004	
Nycticebus menagensis	AY878361	GQ253661	AY875952,AY875951,AY875950								
Nycticebus bengalensis	JN709963,AY878360,AY441477	EU680968	AY875948,AY875947,AY875945	HM765249	HM759168	HM764382	HM763593	HM760871	HM765358	HM759005	
Nycticebus pygmaeus	HQ842859,AY687891,HQ842863	EU680969,AY773976	HQ842870,AY878372,HQ842867	HM765251,EU342236	HM759170,EU342325	HM764384,EU057305	EU057276,HM763595	EU057218,HM760873	HM765363,EU057450	HM759007	
Nycticebus coucang	AY687890,AY687889,U53580	GQ253659,DQ073504,AF212942		HM765250,EU342235,JN633430	JN633624,HM759169,EU342324	HM764383,EU057304	HM763594,EU057275	EU057217,HM760872	EU057449,HM765360	FJ648354,HM759006,JN633324	
