taxon	cytochrome-b	ND3	leca-W01	12S-ribosomal-RNA	Haau-DRB	control-region	ADORA3	ABC1	APP	AXIN1	
Archaeolemur majori	EU441941,EU441940			EU441938							
Hapalemur griseus	U53574,Z34986					AF081030	HM765235	HM765323	HM764698	HM764369	
Hapalemur aureus	AY441446,AJ428958,AJ428957	AF224582,AF224581,AY582550	AB098423,AB098424	AJ430036,AY582715,AY043333	AB078200,AB078230	AF444169,AF444168					
Lemur catta	AY441445,AF175960,AF175953	AF053684,AF224569,AF224570	AJ428397,AB098434,AB098446	AF038013,AY012130	AB078265,AB078201,AB078229	EU333246,EU593889,EU333247	EU342231,HM765237,AY011225	EU057442,HM765333	HM764700,AY011349	EU057297,HM764371	
Hapalemur simus	AJ428979,AJ428978,AJ428977	AY582547,AF224584,AF224583	AB098418,AB098419,AB098421	AY582714,AF175800	AB078261,AB078253,AB078280	AF175890					
Hapalemur occidentalis							HM765236	HM765326	HM764699	HM764370	
