taxon	ADORA3	AFF2	DCTN2	DMRT1	FOXP1	MAPKAP1	MBD5	DENND5A	RAG1	BCHE	
Callicebus caligatus	HM765208	HM764925	HM762801	HM762529	HM761526	HM760630	HM760556	HM759311	HM759133	HM764114	
Callicebus donacophilus	HM765211	HM764932	HM762804	HM762536	HM761533	HM760634	HM760559	HM759315	HM759135	HM764112	
Callicebus cupreus	HM765210	HM764929	HM762803	HM762533	HM761530	HM760633	HM760558	HM759314		HM764111	
Callicebus coimbrai	HM765209	HM764927	HM762802	HM762531	HM761528	HM760631	HM760557	HM759313	HM759134	HM764203	
Callicebus brunneus	HM765207	HM764923	HM762800	HM762527	HM761524	HM760628	HM760555	HM759310	HM759132		
Callicebus personatus	HM765214	HM764941	HM762807	HM762544	HM761542	HM760643	HM760562	HM759321	HM759138	HM764207	
Callicebus moloch	HM765212	HM764943	HM762805	HM762546	HM761544	HM760645	HM760560	HM759316	HM759136	HM764202	
Callicebus nigrifrons	HM765213	HM764947	HM762806	HM762550	HM761547	HM760647	HM760561	HM759319	HM759137	HM764211	
