taxon	cytochrome-b	COI	tRNA-His	HLA-DRB1	12S-ribosomal-RNA	12S-ribosomal-RNA.1	cytochrome-c-oxidase-subunit-II	MHC-DQ-alpha-1	ccr5	SRY	
Papio hamadryas	HQ680401,EU885445,Y16590	FJ750663,HM102309,FJ750662	EU885873,EU885867,EU885870	M57589	FJ750691,AJ842862	FJ750690,AJ842862		M76224	AF105287	AF284328,HM757972,X86385	
Papio ursinus	GQ148693,EU885477,GQ398076	FJ750676,FJ750672,FJ750671	FJ531508,FJ531506,EU885918	EU244818,EU244820,DQ339735	FJ750703,FJ750704,FJ750701	FJ750703,FJ750704,FJ750702	EU293075,EU293076,AY686127				
Papio papio	EU885463,EU885447,EU885462	AY972678,AY972684,FJ713424,FJ750652	AY212056,EU885885,AY212052		FJ750680		FJ713411	AF110844,AF110843,AF110845	AF161994,AF005658,AF161991	HM757973	
Mandrillus leucophaeus	AY204829,JQ068167,EU939978	AY671789	JQ068222,JQ068240,JQ068255	M63206,M63207			M74006		AF177876	AF454968,HM757958	
Papio anubis	AY204835,EU885424,EU885453	FJ750658,FJ713433,AY972646	EU885843,EU885782,AY212097	JQ666248,JQ666247,JQ666222	FJ750684,FJ750683,FJ750686	FJ750685,FJ750683,FJ750686	M74007,FJ713420	D88647,D88645,AF110837	AF023452,AF141640	HM757971,HM071764	
Papio cynocephalus	EU885434,GQ148704,AY204836		EU885866,EU885793,AY212048	L77188,L77191,L77192	FJ750698,FJ750695,FJ750692	FJ750694,FJ750695,FJ750698		AF110841,AF110840,D88626			
Mandrillus sphinx	JQ068151,AF301615,AF301612	FJ713434,AY972706,AY972673	JQ068154,AY488132	DQ103724,DQ103738,DQ103721	L35196,AM492836	AM492836,FJ750707	FJ713421,EU527471,FJ750651		AF177877,AF162032,AF161998	AF284330,HM757966	
Papio kindae		FJ713432,FJ713436,FJ713429					FJ713423,FJ713416,FJ713419				
